application_date,segment,branch_id,state,zone,no_of_applicants
1/4/2017,1,1,WEST BENGAL,EAST,40
1/4/2017,1,3,DELHI,NORTH,58
1/4/2017,1,5,KARNATAKA,SOUTH,10
1/4/2017,1,7,WEST BENGAL,EAST,2
1/4/2017,1,8,WEST BENGAL,EAST,13
1/4/2017,1,9,WEST BENGAL,EAST,11
1/4/2017,1,10,WEST BENGAL,EAST,0
1/4/2017,1,11,WEST BENGAL,EAST,9
1/4/2017,1,13,TAMIL NADU,SOUTH,1
1/4/2017,1,14,UTTAR PRADESH,EAST,0
1/4/2017,1,15,PUNJAB,NORTH,5
1/4/2017,1,16,TELANGANA,SOUTH,1
1/4/2017,1,17,ANDHRA PRADESH,SOUTH,0
1/4/2017,1,18,MAHARASHTRA,WEST,0
1/4/2017,1,19,MAHARASHTRA,WEST,17
1/4/2017,1,20,ORISSA,SOUTH,8
1/4/2017,1,21,MAHARASHTRA,WEST,0
1/4/2017,1,29,WEST BENGAL,EAST,0
1/4/2017,1,34,GUJARAT,WEST,4
1/4/2017,1,35,TAMIL NADU,SOUTH,0
1/4/2017,1,36,ASSAM,EAST,5
1/4/2017,1,42,WEST BENGAL,EAST,2
1/4/2017,1,43,TAMIL NADU,SOUTH,0
1/4/2017,1,48,ORISSA,SOUTH,12
1/4/2017,1,61,GUJARAT,WEST,1
1/4/2017,1,62,PUNJAB,NORTH,2
1/4/2017,1,63,JHARKHAND,SOUTH,6
1/4/2017,1,64,KARNATAKA,SOUTH,0
1/4/2017,1,65,ASSAM,EAST,12
1/4/2017,1,66,ANDHRA PRADESH,SOUTH,0
1/4/2017,1,67,GUJARAT,WEST,8
1/4/2017,1,68,GUJARAT,WEST,1
1/4/2017,1,69,TAMIL NADU,SOUTH,0
1/4/2017,1,70,MAHARASHTRA,WEST,0
1/4/2017,1,72,PUNJAB,NORTH,3
1/4/2017,1,73,PUNJAB,NORTH,10
1/4/2017,1,74,MAHARASHTRA,WEST,1
1/4/2017,1,76,TAMIL NADU,SOUTH,0
1/4/2017,1,77,MAHARASHTRA,WEST,0
1/4/2017,1,78,MAHARASHTRA,WEST,0
1/4/2017,1,79,UTTARAKHAND,EAST,11
1/4/2017,1,82,KERALA,SOUTH,0
1/4/2017,1,84,CHHATTISGARH,CENTRAL,0
1/4/2017,1,85,MAHARASHTRA,WEST,0
1/4/2017,1,100,UTTAR PRADESH,EAST,0
1/4/2017,1,101,UTTAR PRADESH,EAST,0
1/4/2017,1,103,BIHAR,EAST,6
1/4/2017,1,104,JHARKHAND,SOUTH,4
1/4/2017,1,105,GUJARAT,WEST,0
1/4/2017,1,111,ANDHRA PRADESH,SOUTH,0
1/4/2017,1,117,MAHARASHTRA,WEST,0
1/4/2017,1,120,TRIPURA,EAST,2
1/4/2017,1,121,KARNATAKA,SOUTH,0
1/4/2017,1,135,MAHARASHTRA,WEST,17
1/4/2017,1,136,TAMIL NADU,SOUTH,1
1/4/2017,1,137,MAHARASHTRA,WEST,5
1/4/2017,1,147,MADHYA PRADESH,CENTRAL,7
1/4/2017,1,159,BIHAR,EAST,0
1/4/2017,1,165,ORISSA,EAST,4
1/4/2017,1,202,UTTARAKHAND,EAST,0
1/4/2017,1,207,GUJARAT,WEST,0
1/4/2017,1,217,BIHAR,EAST,0
1/4/2017,1,248,MAHARASHTRA,WEST,0
1/4/2017,1,249,MAHARASHTRA,WEST,0
1/4/2017,1,250,GUJARAT,WEST,0
1/4/2017,1,251,TRIPURA,EAST,0
1/4/2017,1,254,ASSAM,EAST,0
1/4/2017,1,255,ASSAM,EAST,0
1/4/2017,1,257,GUJARAT,WEST,0
1/4/2017,1,258,HARYANA,NORTH,0
1/4/2017,1,259,HARYANA,NORTH,0
1/4/2017,1,260,TAMIL NADU,SOUTH,0
1/4/2017,1,261,HARYANA,NORTH,0
1/4/2017,1,262,UTTAR PRADESH,EAST,0
1/4/2017,1,263,ANDHRA PRADESH,SOUTH,0
1/4/2017,1,264,PUNJAB,NORTH,0
1/4/2017,1,265,ANDHRA PRADESH,SOUTH,0
1/4/2017,1,266,TELANGANA,SOUTH,0
1/4/2017,1,267,ANDHRA PRADESH,SOUTH,0
1/4/2017,1,268,UTTAR PRADESH,EAST,0
1/4/2017,1,269,UTTAR PRADESH,EAST,0
1/4/2017,1,270,UTTAR PRADESH,EAST,0
1/4/2017,1,271,HARYANA,NORTH,0
3/4/2017,1,1,WEST BENGAL,EAST,5
3/4/2017,1,3,DELHI,NORTH,13
3/4/2017,1,5,KARNATAKA,SOUTH,1
3/4/2017,1,7,WEST BENGAL,EAST,0
3/4/2017,1,8,WEST BENGAL,EAST,0
3/4/2017,1,9,WEST BENGAL,EAST,1
3/4/2017,1,10,WEST BENGAL,EAST,0
3/4/2017,1,11,WEST BENGAL,EAST,1
3/4/2017,1,13,TAMIL NADU,SOUTH,0
3/4/2017,1,14,UTTAR PRADESH,EAST,0
3/4/2017,1,15,PUNJAB,NORTH,1
3/4/2017,1,16,TELANGANA,SOUTH,0
3/4/2017,1,17,ANDHRA PRADESH,SOUTH,0
3/4/2017,1,18,MAHARASHTRA,WEST,0
3/4/2017,1,19,MAHARASHTRA,WEST,7
3/4/2017,1,20,ORISSA,SOUTH,1
3/4/2017,1,21,MAHARASHTRA,WEST,0
3/4/2017,1,29,WEST BENGAL,EAST,0
3/4/2017,1,34,GUJARAT,WEST,0
3/4/2017,1,35,TAMIL NADU,SOUTH,0
3/4/2017,1,36,ASSAM,EAST,0
3/4/2017,1,42,WEST BENGAL,EAST,1
3/4/2017,1,43,TAMIL NADU,SOUTH,0
3/4/2017,1,48,ORISSA,SOUTH,0
3/4/2017,1,61,GUJARAT,WEST,0
3/4/2017,1,62,PUNJAB,NORTH,0
3/4/2017,1,63,JHARKHAND,SOUTH,0
3/4/2017,1,64,KARNATAKA,SOUTH,0
3/4/2017,1,65,ASSAM,EAST,1
3/4/2017,1,66,ANDHRA PRADESH,SOUTH,0
3/4/2017,1,67,GUJARAT,WEST,0
3/4/2017,1,68,GUJARAT,WEST,0
3/4/2017,1,69,TAMIL NADU,SOUTH,0
3/4/2017,1,70,MAHARASHTRA,WEST,0
3/4/2017,1,72,PUNJAB,NORTH,1
3/4/2017,1,73,PUNJAB,NORTH,1
3/4/2017,1,74,MAHARASHTRA,WEST,0
3/4/2017,1,76,TAMIL NADU,SOUTH,0
3/4/2017,1,77,MAHARASHTRA,WEST,0
3/4/2017,1,78,MAHARASHTRA,WEST,0
3/4/2017,1,79,UTTARAKHAND,EAST,1
3/4/2017,1,82,KERALA,SOUTH,0
3/4/2017,1,84,CHHATTISGARH,CENTRAL,0
3/4/2017,1,85,MAHARASHTRA,WEST,0
3/4/2017,1,100,UTTAR PRADESH,EAST,0
3/4/2017,1,101,UTTAR PRADESH,EAST,0
3/4/2017,1,103,BIHAR,EAST,0
3/4/2017,1,104,JHARKHAND,SOUTH,0
3/4/2017,1,105,GUJARAT,WEST,0
3/4/2017,1,111,ANDHRA PRADESH,SOUTH,0
3/4/2017,1,117,MAHARASHTRA,WEST,0
3/4/2017,1,120,TRIPURA,EAST,0
3/4/2017,1,121,KARNATAKA,SOUTH,0
3/4/2017,1,135,MAHARASHTRA,WEST,5
3/4/2017,1,136,TAMIL NADU,SOUTH,0
3/4/2017,1,137,MAHARASHTRA,WEST,0
3/4/2017,1,147,MADHYA PRADESH,CENTRAL,2
3/4/2017,1,159,BIHAR,EAST,0
3/4/2017,1,165,ORISSA,EAST,0
3/4/2017,1,202,UTTARAKHAND,EAST,0
3/4/2017,1,207,GUJARAT,WEST,0
3/4/2017,1,217,BIHAR,EAST,0
3/4/2017,1,248,MAHARASHTRA,WEST,0
3/4/2017,1,249,MAHARASHTRA,WEST,0
3/4/2017,1,250,GUJARAT,WEST,0
3/4/2017,1,251,TRIPURA,EAST,0
3/4/2017,1,254,ASSAM,EAST,0
3/4/2017,1,255,ASSAM,EAST,0
3/4/2017,1,257,GUJARAT,WEST,0
3/4/2017,1,258,HARYANA,NORTH,0
3/4/2017,1,259,HARYANA,NORTH,0
3/4/2017,1,260,TAMIL NADU,SOUTH,0
3/4/2017,1,261,HARYANA,NORTH,0
3/4/2017,1,262,UTTAR PRADESH,EAST,0
3/4/2017,1,263,ANDHRA PRADESH,SOUTH,0
3/4/2017,1,264,PUNJAB,NORTH,0
3/4/2017,1,265,ANDHRA PRADESH,SOUTH,0
3/4/2017,1,266,TELANGANA,SOUTH,0
3/4/2017,1,267,ANDHRA PRADESH,SOUTH,0
3/4/2017,1,268,UTTAR PRADESH,EAST,0
3/4/2017,1,269,UTTAR PRADESH,EAST,0
3/4/2017,1,270,UTTAR PRADESH,EAST,0
3/4/2017,1,271,HARYANA,NORTH,0
4/4/2017,1,1,WEST BENGAL,EAST,4
4/4/2017,1,3,DELHI,NORTH,6
4/4/2017,1,5,KARNATAKA,SOUTH,1
4/4/2017,1,7,WEST BENGAL,EAST,0
4/4/2017,1,8,WEST BENGAL,EAST,0
4/4/2017,1,9,WEST BENGAL,EAST,0
4/4/2017,1,10,WEST BENGAL,EAST,0
4/4/2017,1,11,WEST BENGAL,EAST,0
4/4/2017,1,13,TAMIL NADU,SOUTH,0
4/4/2017,1,14,UTTAR PRADESH,EAST,0
4/4/2017,1,15,PUNJAB,NORTH,0
4/4/2017,1,16,TELANGANA,SOUTH,0
4/4/2017,1,17,ANDHRA PRADESH,SOUTH,0
4/4/2017,1,18,MAHARASHTRA,WEST,0
4/4/2017,1,19,MAHARASHTRA,WEST,3
4/4/2017,1,20,ORISSA,SOUTH,0
4/4/2017,1,21,MAHARASHTRA,WEST,0
4/4/2017,1,29,WEST BENGAL,EAST,2
4/4/2017,1,34,GUJARAT,WEST,0
4/4/2017,1,35,TAMIL NADU,SOUTH,0
4/4/2017,1,36,ASSAM,EAST,0
4/4/2017,1,42,WEST BENGAL,EAST,1
4/4/2017,1,43,TAMIL NADU,SOUTH,0
4/4/2017,1,48,ORISSA,SOUTH,0
4/4/2017,1,61,GUJARAT,WEST,0
4/4/2017,1,62,PUNJAB,NORTH,0
4/4/2017,1,63,JHARKHAND,SOUTH,0
4/4/2017,1,64,KARNATAKA,SOUTH,0
4/4/2017,1,65,ASSAM,EAST,0
4/4/2017,1,66,ANDHRA PRADESH,SOUTH,0
4/4/2017,1,67,GUJARAT,WEST,0
4/4/2017,1,68,GUJARAT,WEST,0
4/4/2017,1,69,TAMIL NADU,SOUTH,0
4/4/2017,1,70,MAHARASHTRA,WEST,0
4/4/2017,1,72,PUNJAB,NORTH,0
4/4/2017,1,73,PUNJAB,NORTH,0
4/4/2017,1,74,MAHARASHTRA,WEST,0
4/4/2017,1,76,TAMIL NADU,SOUTH,0
4/4/2017,1,77,MAHARASHTRA,WEST,0
4/4/2017,1,78,MAHARASHTRA,WEST,0
4/4/2017,1,79,UTTARAKHAND,EAST,0
4/4/2017,1,82,KERALA,SOUTH,0
4/4/2017,1,84,CHHATTISGARH,CENTRAL,0
4/4/2017,1,85,MAHARASHTRA,WEST,0
4/4/2017,1,100,UTTAR PRADESH,EAST,0
4/4/2017,1,101,UTTAR PRADESH,EAST,0
4/4/2017,1,103,BIHAR,EAST,0
4/4/2017,1,104,JHARKHAND,SOUTH,0
4/4/2017,1,105,GUJARAT,WEST,0
4/4/2017,1,111,ANDHRA PRADESH,SOUTH,0
4/4/2017,1,117,MAHARASHTRA,WEST,0
4/4/2017,1,120,TRIPURA,EAST,0
4/4/2017,1,121,KARNATAKA,SOUTH,0
4/4/2017,1,135,MAHARASHTRA,WEST,4
4/4/2017,1,136,TAMIL NADU,SOUTH,0
4/4/2017,1,137,MAHARASHTRA,WEST,1
4/4/2017,1,147,MADHYA PRADESH,CENTRAL,1
4/4/2017,1,159,BIHAR,EAST,0
4/4/2017,1,165,ORISSA,EAST,0
4/4/2017,1,202,UTTARAKHAND,EAST,0
4/4/2017,1,207,GUJARAT,WEST,0
4/4/2017,1,217,BIHAR,EAST,0
4/4/2017,1,248,MAHARASHTRA,WEST,0
4/4/2017,1,249,MAHARASHTRA,WEST,0
4/4/2017,1,250,GUJARAT,WEST,0
4/4/2017,1,251,TRIPURA,EAST,0
4/4/2017,1,254,ASSAM,EAST,0
4/4/2017,1,255,ASSAM,EAST,0
4/4/2017,1,257,GUJARAT,WEST,0
4/4/2017,1,258,HARYANA,NORTH,0
4/4/2017,1,259,HARYANA,NORTH,0
4/4/2017,1,260,TAMIL NADU,SOUTH,0
4/4/2017,1,261,HARYANA,NORTH,0
4/4/2017,1,262,UTTAR PRADESH,EAST,0
4/4/2017,1,263,ANDHRA PRADESH,SOUTH,0
4/4/2017,1,264,PUNJAB,NORTH,0
4/4/2017,1,265,ANDHRA PRADESH,SOUTH,0
4/4/2017,1,266,TELANGANA,SOUTH,0
4/4/2017,1,267,ANDHRA PRADESH,SOUTH,0
4/4/2017,1,268,UTTAR PRADESH,EAST,0
4/4/2017,1,269,UTTAR PRADESH,EAST,0
4/4/2017,1,270,UTTAR PRADESH,EAST,0
4/4/2017,1,271,HARYANA,NORTH,0
5/4/2017,1,1,WEST BENGAL,EAST,113
5/4/2017,1,3,DELHI,NORTH,74
5/4/2017,1,5,KARNATAKA,SOUTH,113
5/4/2017,1,7,WEST BENGAL,EAST,19
5/4/2017,1,8,WEST BENGAL,EAST,10
5/4/2017,1,9,WEST BENGAL,EAST,22
5/4/2017,1,10,WEST BENGAL,EAST,46
5/4/2017,1,11,WEST BENGAL,EAST,23
5/4/2017,1,13,TAMIL NADU,SOUTH,15
5/4/2017,1,14,UTTAR PRADESH,EAST,0
5/4/2017,1,15,PUNJAB,NORTH,17
5/4/2017,1,16,TELANGANA,SOUTH,85
5/4/2017,1,17,ANDHRA PRADESH,SOUTH,9
5/4/2017,1,18,MAHARASHTRA,WEST,34
5/4/2017,1,19,MAHARASHTRA,WEST,73
5/4/2017,1,20,ORISSA,SOUTH,47
5/4/2017,1,21,MAHARASHTRA,WEST,0
5/4/2017,1,29,WEST BENGAL,EAST,7
5/4/2017,1,34,GUJARAT,WEST,105
5/4/2017,1,35,TAMIL NADU,SOUTH,0
5/4/2017,1,36,ASSAM,EAST,37
5/4/2017,1,42,WEST BENGAL,EAST,30
5/4/2017,1,43,TAMIL NADU,SOUTH,0
5/4/2017,1,48,ORISSA,SOUTH,47
5/4/2017,1,61,GUJARAT,WEST,29
5/4/2017,1,62,PUNJAB,NORTH,8
5/4/2017,1,63,JHARKHAND,SOUTH,7
5/4/2017,1,64,KARNATAKA,SOUTH,14
5/4/2017,1,65,ASSAM,EAST,54
5/4/2017,1,66,ANDHRA PRADESH,SOUTH,0
5/4/2017,1,67,GUJARAT,WEST,91
5/4/2017,1,68,GUJARAT,WEST,8
5/4/2017,1,69,TAMIL NADU,SOUTH,0
5/4/2017,1,70,MAHARASHTRA,WEST,8
5/4/2017,1,72,PUNJAB,NORTH,17
5/4/2017,1,73,PUNJAB,NORTH,12
5/4/2017,1,74,MAHARASHTRA,WEST,33
5/4/2017,1,76,TAMIL NADU,SOUTH,5
5/4/2017,1,77,MAHARASHTRA,WEST,10
5/4/2017,1,78,MAHARASHTRA,WEST,9
5/4/2017,1,79,UTTARAKHAND,EAST,18
5/4/2017,1,82,KERALA,SOUTH,12
5/4/2017,1,84,CHHATTISGARH,CENTRAL,0
5/4/2017,1,85,MAHARASHTRA,WEST,29
5/4/2017,1,100,UTTAR PRADESH,EAST,0
5/4/2017,1,101,UTTAR PRADESH,EAST,0
5/4/2017,1,103,BIHAR,EAST,19
5/4/2017,1,104,JHARKHAND,SOUTH,7
5/4/2017,1,105,GUJARAT,WEST,7
5/4/2017,1,111,ANDHRA PRADESH,SOUTH,0
5/4/2017,1,117,MAHARASHTRA,WEST,0
5/4/2017,1,120,TRIPURA,EAST,21
5/4/2017,1,121,KARNATAKA,SOUTH,0
5/4/2017,1,135,MAHARASHTRA,WEST,89
5/4/2017,1,136,TAMIL NADU,SOUTH,44
5/4/2017,1,137,MAHARASHTRA,WEST,26
5/4/2017,1,147,MADHYA PRADESH,CENTRAL,21
5/4/2017,1,159,BIHAR,EAST,0
5/4/2017,1,165,ORISSA,EAST,6
5/4/2017,1,202,UTTARAKHAND,EAST,0
5/4/2017,1,207,GUJARAT,WEST,0
5/4/2017,1,217,BIHAR,EAST,0
5/4/2017,1,248,MAHARASHTRA,WEST,0
5/4/2017,1,249,MAHARASHTRA,WEST,0
5/4/2017,1,250,GUJARAT,WEST,0
5/4/2017,1,251,TRIPURA,EAST,0
5/4/2017,1,254,ASSAM,EAST,0
5/4/2017,1,255,ASSAM,EAST,0
5/4/2017,1,257,GUJARAT,WEST,0
5/4/2017,1,258,HARYANA,NORTH,0
5/4/2017,1,259,HARYANA,NORTH,0
5/4/2017,1,260,TAMIL NADU,SOUTH,0
5/4/2017,1,261,HARYANA,NORTH,0
5/4/2017,1,262,UTTAR PRADESH,EAST,0
5/4/2017,1,263,ANDHRA PRADESH,SOUTH,0
