"id","no_of_applicants"
1,36.9935742404356
2,37.3594125677372
3,37.4286163046499
4,37.4417072162502
5,37.4441835560285
6,37.444651992367
7,37.444740604037
8,37.4447573662465
9,37.4447605370667
10,37.4447611368742
11,37.4447612503367
12,37.4447612717998
13,37.4447612758599
14,37.4447612766279
15,37.4447612767732
16,37.4447612768007
17,37.4447612768059
18,37.4447612768069
19,37.4447612768071
20,37.4447612768071
21,37.4447612768071
22,37.4447612768071
23,37.4447612768071
24,37.4447612768071
25,37.4447612768071
26,37.4447612768071
27,37.4447612768071
28,37.4447612768071
29,37.4447612768071
30,37.4447612768071
31,14.3167888702629
32,14.1445414155383
33,-54.6219972374769
34,-63.9988807711616
35,-34.5980036189936
36,23.5079490201778
37,89.9310991546913
38,-59.560427651357
39,-39.6670358422222
40,-31.4379707915454
41,-21.9754315023989
42,-21.8297009707752
43,-10.8563695585855
44,69.6998595224367
45,18.2487118240019
46,-7.17390490148433
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
